ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0003712	transcription coregulator activity	153/3354	478/28366	0.320083682008368	2.70706431838085	13.7833207021143	3.60567199460656e-32	4.78472673684291e-29	2.97183281239678e-29	Kdm5b/Tada1/Zfp451/Bend6/Nab1/Hdac4/Edf1/Med27/Asxl1/Cbfa2t2/Raly/Prpf6/Scai/Cir1/Hipk3/Trp53bp1/Cops2/Ncoa6/Zmynd8/Tbl1xr1/Jade1/Supt20/Med12l/Crtc2/Bcl10/Maml3/Bcl9/Hipk1/Nfkb1/Runx1t1/Akirin2/Ssbp3/Mycbp/Rere/Psip1/Mysm1/Akirin1/Thrap3/Kmt2e/Kmt5a/Kmt2c/Kdm2b/N4bp2l2/Setd5/Atf7ip/Hipk2/Jazf1/Kdm3a/Bhlhe41/Eid2/Ube3a/Map3k10/Uri1/Ruvbl2/Crtc3/Nup98/Zfp764/Ctbp2/Kat6a/Dnajb1/Wwox/Tcf25/Sap30/Crtc1/Med26/Cdyl2/Maml2/Carm1/Smarca4/Npat/Sin3a/Pkm/Birc2/Med17/Zfp653/Pml/Pias1/Rad54l2/Bclaf1/Jmjd1c/Tle2/Tdg/Hcfc2/Naca/Ccar1/Arid5b/Pa2g4/C1d/Sertad2/Med9/Taf15/Trim37/Ewsr1/Maml1/Zfp354b/Usp22/Ncor1/Med13/Jup/Ezh1/Ddx5/Wbp2/Myt1l/Rcor1/Mta1/Ncoa1/Setd3/Cdca4/Cdyl/Nsd1/Mier3/Phf2/Jmy/Kat6b/Zmiz1/Sfmbt1/Hr/Tsc22d1/Tdrd3/Mtdh/Med30/Nipbl/Sub1/Rbfox2/Tob2/Yaf2/Mrtfb/Usp16/Dyrk1a/Crebbp/Nrip1/Prkn/Daxx/Med20/Kat2b/Lpin2/Kdm3b/Tcerg1/Tcf4/Smad7/Pias2/Ss18/Nr3c1/Ppargc1b/Mta2/Smarca2/Btaf1/Lcor/Kdm2a/Kat5/Tle4/Mms19/Ldb1	153
GO:0051020	GTPase binding	120/3354	337/28366	0.356083086053412	3.01152439445173	13.6030146415918	2.94280546781066e-30	1.95255142789237e-27	1.2127456217346e-27	Abi2/Mff/Atg16l1/Dennd1b/Rab3gap2/Als2/Rnf152/Rabgap1l/Mapkap1/Rabgap1/Fmnl2/Rapgef4/Ambra1/Cse1l/Gapvd1/Nckap1/Kif16b/Bcl2l1/Arhgef2/Usp33/Rap1a/Pkn2/Rragd/Rusc2/Rims3/Rap1gap/Errfi1/Gnb1/C9orf72/Abca1/Ipo13/Depdc5/Rabgef1/Ulk1/Git2/Radil/Ppp1r9a/Brk1/Bicd1/Tnpo3/Braf/Rab7/Rbsn/Raf1/Erc1/Dennd5b/Rasip1/Cyfip1/Picalm/Sytl2/Ipo7/Ppp6r1/Dennd5a/Xpo6/Bnip3/Arhgef7/Prkaca/Tnpo2/Ap1g1/Pkn1/Ranbp10/Exoc8/Exph5/Rasgrf1/Golga4/Rgl3/Sorl1/Dmxl2/Dock3/Wasf1/Hace1/Ranbp2/Appl2/Rab3ip/Xpot/Kif3a/Rapgef6/Ankfy1/Ift20/Rptor/Sptbn1/Ranbp17/Cyfip2/Arhgap44/Gga3/Unc13d/Rock2/Dock4/Plekhg3/Trip11/Gdi2/Exoc2/Ranbp9/Nup153/Rhobtb3/Rasa1/Tnpo1/Ipo11/Ipo5/Atg14/Xpo4/Xpo7/Mycbp2/Pou4f1/Dock9/Rims2/Lrrk2/Acap2/Pak2/Afdn/Rab11fip3/Daam2/Sh3gl1/Ralbp1/Rock1/Diaph1/Ric1/Ccdc186/Rab11fip2/Diaph2	120
GO:0019787	ubiquitin-like protein transferase activity	143/3354	459/28366	0.311546840958606	2.63486514330108	12.9309494532347	9.11256644160019e-29	4.03079188933449e-26	2.50355772763963e-26	Cop1/Ube2w/Zfp451/Rnf149/Hecw2/Trip12/Hdac4/Rnf152/Rnf2/Med27/Marchf7/Vps18/Itch/Rc3h2/Trim44/Ubr1/Ubox5/Rbck1/Hltf/Rnf13/Ube2q1/Rnf115/Trim33/Ube2d3/Nhlrc3/Siah2/Ube2j1/Nfx1/Ube2r2/Rnf19b/Mul1/Ubr4/Ube2j2/Wwp1/Ufl1/Topors/Klhl9/Ube4b/Mib2/Ube3c/Maea/Ube2k/Chfr/Rnf34/Rabgef1/Cdk8/Lnx1/Rnf10/Rnf216/Lnx2/Cul1/Znrf2/Herc3/Rnf103/Marchf8/Klhl42/Cnot4/Rmnd5a/Kcmf1/Rnf225/Ube3a/Rnf169/Rnf121/Trim3/Cul4a/Rnf170/Rnf122/Amfr/Rfwd3/Ube2q2/Msl2/Birc2/Med17/Cbl/Ube4a/Pml/Pias1/Fbxl22/Arih2/Shprh/Med23/Hace1/Ranbp2/Herc4/Sumo3/Ube2n/Rnf146/Rnf217/Ube2d1/Peli1/Fancl/Fbxw11/Rnf145/Rnf130/Gid4/Ube2g1/Zzef1/Trim37/Anapc11/Rnf185/Znrf3/Wsb1/Smurf2/G2e3/Traf3/Rnf144a/Cbll1/Hectd1/Arel1/Rnf182/Mylip/Ercc8/Zmiz1/Peli2/Fbxl3/Mycbp2/Med30/Rnf139/Nsmce2/Mgrn1/Bfar/Cblb/Ttc3/Ltn1/Prkn/Med20/Birc6/Fbxo11/Mib1/Rnf138/Ube2d2a/Rnf14/Nedd4l/Mex3c/Pias2/Marchf3/Uhrf2/Hectd2/Btrc/Neurl1a/Peli3/Zfp91/Nt5c2	143
GO:0016755	aminoacyltransferase activity	144/3354	475/28366	0.303157894736842	2.56391676866585	12.587141410903	1.35369268412268e-27	4.49087547957699e-25	2.78931939912647e-25	Cop1/Ube2w/Zfp451/Rnf149/Hecw2/Trip12/Hdac4/Rnf152/Rnf2/Med27/Marchf7/Vps18/Itch/Rc3h2/Trim44/Ubr1/Ubox5/Rbck1/Hltf/Rnf13/Ube2q1/Rnf115/Trim33/Ube2d3/Nhlrc3/Siah2/Ube2j1/Nfx1/Ube2r2/Rnf19b/Mul1/Ubr4/Ube2j2/Wwp1/Ufl1/Topors/Klhl9/Ube4b/Mib2/Ube3c/Maea/Ube2k/Chfr/Rnf34/Rabgef1/Cdk8/Lnx1/Rnf10/Rnf216/Lnx2/Cul1/Znrf2/Herc3/Rnf103/Marchf8/Klhl42/Cnot4/Rmnd5a/Kcmf1/Rnf225/Ube3a/Rnf169/Rnf121/Trim3/Ate1/Cul4a/Rnf170/Rnf122/Amfr/Rfwd3/Ube2q2/Msl2/Birc2/Med17/Cbl/Ube4a/Pml/Pias1/Fbxl22/Arih2/Shprh/Med23/Hace1/Ranbp2/Herc4/Sumo3/Ube2n/Rnf146/Rnf217/Ube2d1/Peli1/Fancl/Fbxw11/Rnf145/Rnf130/Gid4/Ube2g1/Zzef1/Trim37/Anapc11/Rnf185/Znrf3/Wsb1/Smurf2/G2e3/Traf3/Rnf144a/Cbll1/Hectd1/Arel1/Rnf182/Mylip/Ercc8/Zmiz1/Peli2/Fbxl3/Mycbp2/Med30/Rnf139/Nsmce2/Mgrn1/Bfar/Cblb/Ttc3/Ltn1/Prkn/Med20/Birc6/Fbxo11/Mib1/Rnf138/Ube2d2a/Rnf14/Nedd4l/Mex3c/Pias2/Marchf3/Uhrf2/Hectd2/Btrc/Neurl1a/Peli3/Zfp91/Nt5c2	144
GO:0031267	small GTPase binding	106/3354	297/28366	0.356902356902357	3.01845326651528	12.8050761668083	5.67200722544085e-27	1.505350717632e-24	9.34985612109513e-25	Abi2/Dennd1b/Rab3gap2/Als2/Rnf152/Rabgap1l/Mapkap1/Rabgap1/Fmnl2/Rapgef4/Cse1l/Gapvd1/Nckap1/Kif16b/Arhgef2/Usp33/Rap1a/Pkn2/Rusc2/Rims3/Rap1gap/Errfi1/C9orf72/Abca1/Ipo13/Depdc5/Rabgef1/Ulk1/Git2/Brk1/Bicd1/Tnpo3/Braf/Rab7/Rbsn/Raf1/Erc1/Dennd5b/Rasip1/Cyfip1/Picalm/Sytl2/Ipo7/Ppp6r1/Dennd5a/Xpo6/Arhgef7/Prkaca/Tnpo2/Ap1g1/Pkn1/Ranbp10/Exoc8/Exph5/Rasgrf1/Golga4/Rgl3/Sorl1/Dmxl2/Dock3/Wasf1/Hace1/Ranbp2/Appl2/Rab3ip/Xpot/Kif3a/Rapgef6/Ankfy1/Ift20/Rptor/Ranbp17/Cyfip2/Arhgap44/Gga3/Unc13d/Rock2/Dock4/Plekhg3/Trip11/Gdi2/Exoc2/Ranbp9/Nup153/Rhobtb3/Tnpo1/Ipo11/Ipo5/Xpo4/Xpo7/Mycbp2/Dock9/Rims2/Lrrk2/Acap2/Pak2/Afdn/Rab11fip3/Daam2/Ralbp1/Rock1/Diaph1/Ric1/Ccdc186/Rab11fip2/Diaph2	106
GO:0004842	ubiquitin-protein transferase activity	133/3354	434/28366	0.306451612903226	2.59177294323581	12.236963918609	4.49442657847934e-26	9.94017344940347e-24	6.17392282622688e-24	Cop1/Ube2w/Rnf149/Hecw2/Trip12/Rnf152/Rnf2/Med27/Marchf7/Vps18/Itch/Rc3h2/Trim44/Ubr1/Ubox5/Rbck1/Hltf/Rnf13/Ube2q1/Rnf115/Trim33/Ube2d3/Nhlrc3/Siah2/Ube2j1/Nfx1/Ube2r2/Rnf19b/Mul1/Ubr4/Ube2j2/Wwp1/Topors/Klhl9/Ube4b/Mib2/Ube3c/Maea/Ube2k/Chfr/Rnf34/Rabgef1/Cdk8/Lnx1/Rnf10/Rnf216/Lnx2/Cul1/Znrf2/Herc3/Rnf103/Marchf8/Klhl42/Cnot4/Rmnd5a/Kcmf1/Rnf225/Ube3a/Rnf169/Rnf121/Trim3/Cul4a/Rnf170/Rnf122/Amfr/Rfwd3/Ube2q2/Msl2/Birc2/Med17/Cbl/Ube4a/Fbxl22/Arih2/Shprh/Med23/Hace1/Herc4/Ube2n/Rnf146/Rnf217/Ube2d1/Peli1/Fancl/Fbxw11/Rnf145/Rnf130/Gid4/Ube2g1/Trim37/Anapc11/Rnf185/Znrf3/Wsb1/Smurf2/G2e3/Traf3/Rnf144a/Cbll1/Hectd1/Arel1/Rnf182/Mylip/Ercc8/Peli2/Fbxl3/Mycbp2/Med30/Rnf139/Nsmce2/Mgrn1/Bfar/Cblb/Ttc3/Ltn1/Prkn/Med20/Birc6/Fbxo11/Mib1/Rnf138/Ube2d2a/Rnf14/Nedd4l/Mex3c/Marchf3/Uhrf2/Hectd2/Btrc/Neurl1a/Peli3/Zfp91/Nt5c2	133
GO:0004674	protein serine/threonine kinase activity	132/3354	441/28366	0.299319727891156	2.53145599325001	11.8693227328928	8.03875865274238e-25	1.52391896174131e-22	9.46518500014629e-23	Map4k4/Cdk15/Pikfyve/Stk16/Speg/Dstyk/Cdc42bpa/Clk1/Mapkapk2/Uhmk1/Akt3/Eif2ak4/Stk35/Csnk2a1/Camk1d/Acvr1/Stk39/Hipk3/Ttbk2/Trpm7/Tnik/Prkci/Pik3ca/Dclk1/Camk2d/Dclk2/Hipk1/Pkn2/Prkacb/Map3k7/Stk40/Cpne3/Prkaa2/Mast2/Prkcz/Nrbp1/Taok3/Eif2ak1/Cdk8/Prkag2/Mapk10/Gak/Ulk1/Grk3/Mapkapk5/Camkk2/Eif2ak3/Aak1/Hipk2/Braf/Raf1/Wnk1/Akt2/Vrk3/Eef2k/Mapk3/Sbk2/Map3k10/Stk33/Smg1/Nek1/Prkaca/Ikbkb/Pkn1/Sik3/Pkm/Cilk1/Atr/Acvr2b/Snrk/Sik2/Map2k5/Mapk6/Mapkapk3/Oxsr1/Map3k5/Sgk1/Cdk19/Stk11/Cdk17/Nuak1/Tbk1/Mapk9/Tlk2/Map3k3/Map2k6/Limk2/Camk2b/Map2k4/Taok1/Nlk/Rps6kb1/Pdk2/Map3k14/Strada/Rock2/Ccnk/Mark3/Map4k5/Map3k9/Rps6ka5/Prpf4b/Riok1/Cdk20/Ccnh/Cdk13/Mapk8/Bmpr1a/Lats2/Stk24/Lrrk2/Tssk5/Prkag1/Map3k13/Dyrk1a/Pak2/Mapk14/Map3k4/Stk19/Map4k3/Riok3/Csnk1g3/Csnk1a1/Map3k8/Rock1/Slk/Grk5/Grk2/Mark2/Chuk/Pim2/Rps6ka3	132
GO:0061659	ubiquitin-like protein ligase activity	116/3354	362/28366	0.320441988950276	2.71009465073451	11.9912128599439	9.98202931888963e-25	1.65576911327082e-22	1.02841170482771e-22	Cop1/Zfp451/Rnf149/Hecw2/Trip12/Rnf152/Rnf2/Med27/Marchf7/Vps18/Itch/Rc3h2/Trim44/Ubr1/Ubox5/Hltf/Rnf13/Rnf115/Trim33/Nhlrc3/Siah2/Nfx1/Rnf19b/Mul1/Ubr4/Wwp1/Ufl1/Topors/Ube4b/Mib2/Ube3c/Maea/Ube2k/Chfr/Rnf34/Rabgef1/Cdk8/Rnf10/Rnf216/Cul1/Znrf2/Herc3/Marchf8/Rmnd5a/Kcmf1/Rnf225/Ube3a/Rnf121/Trim3/Cul4a/Rnf170/Rnf122/Amfr/Rfwd3/Msl2/Birc2/Med17/Cbl/Ube4a/Pml/Pias1/Fbxl22/Arih2/Shprh/Med23/Hace1/Ranbp2/Herc4/Rnf146/Rnf217/Ube2d1/Peli1/Fancl/Fbxw11/Rnf145/Rnf130/Gid4/Zzef1/Trim37/Anapc11/Rnf185/Znrf3/Wsb1/Smurf2/G2e3/Traf3/Rnf144a/Cbll1/Hectd1/Arel1/Mylip/Zmiz1/Peli2/Mycbp2/Med30/Rnf139/Nsmce2/Mgrn1/Bfar/Cblb/Ltn1/Prkn/Med20/Mib1/Rnf138/Ube2d2a/Rnf14/Nedd4l/Mex3c/Pias2/Uhrf2/Hectd2/Btrc/Neurl1a/Peli3/Nt5c2	116
GO:0106310	protein serine kinase activity	114/3354	362/28366	0.314917127071823	2.66336888089426	11.6635709648251	1.28310994660379e-23	1.89187433238136e-21	1.17505858267926e-21	Map4k4/Cdk15/Pikfyve/Stk16/Speg/Dstyk/Cdc42bpa/Clk1/Mapkapk2/Uhmk1/Akt3/Eif2ak4/Stk35/Csnk2a1/Camk1d/Stk39/Hipk3/Ttbk2/Trpm7/Tnik/Prkci/Pik3ca/Dclk1/Camk2d/Dclk2/Hipk1/Pkn2/Prkacb/Map3k7/Stk40/Prkaa2/Mast2/Prkcz/Taok3/Eif2ak1/Cdk8/Mapk10/Gak/Ulk1/Mapkapk5/Camkk2/Eif2ak3/Aak1/Hipk2/Braf/Raf1/Wnk1/Akt2/Mapk3/Sbk2/Map3k10/Stk33/Smg1/Nek1/Prkaca/Ikbkb/Pkn1/Sik3/Cilk1/Atr/Snrk/Sik2/Map2k5/Mapk6/Pik3cb/Mapkapk3/Oxsr1/Map3k5/Sgk1/Cdk19/Stk11/Cdk17/Nuak1/Tbk1/Mapk9/Tlk2/Map3k3/Map2k6/Limk2/Camk2b/Map2k4/Taok1/Nlk/Rps6kb1/Map3k14/Rock2/Mark3/Map4k5/Map3k9/Rps6ka5/Prpf4b/Riok1/Cdk20/Cdk13/Mapk8/Lats2/Stk24/Lrrk2/Tssk5/Map3k13/Dyrk1a/Pak2/Mapk14/Map3k4/Map4k3/Riok3/Csnk1g3/Csnk1a1/Map3k8/Rock1/Slk/Mark2/Pim2/Rps6ka3	114
GO:0061630	ubiquitin protein ligase activity	107/3354	345/28366	0.310144927536232	2.6230086507134	11.1067572550509	1.12124269164467e-21	1.48788905181247e-19	9.24140029008185e-20	Cop1/Rnf149/Hecw2/Trip12/Rnf152/Rnf2/Med27/Marchf7/Vps18/Itch/Rc3h2/Trim44/Ubr1/Ubox5/Hltf/Rnf13/Rnf115/Trim33/Nhlrc3/Siah2/Nfx1/Rnf19b/Mul1/Ubr4/Wwp1/Topors/Ube4b/Mib2/Ube3c/Maea/Ube2k/Chfr/Rnf34/Rabgef1/Cdk8/Rnf10/Rnf216/Cul1/Znrf2/Herc3/Marchf8/Rmnd5a/Kcmf1/Rnf225/Ube3a/Rnf121/Trim3/Cul4a/Rnf170/Rnf122/Amfr/Rfwd3/Msl2/Birc2/Med17/Cbl/Ube4a/Fbxl22/Arih2/Shprh/Med23/Hace1/Herc4/Rnf146/Rnf217/Ube2d1/Peli1/Fancl/Fbxw11/Rnf145/Rnf130/Gid4/Trim37/Anapc11/Rnf185/Znrf3/Wsb1/Smurf2/G2e3/Traf3/Rnf144a/Cbll1/Hectd1/Arel1/Mylip/Peli2/Mycbp2/Med30/Rnf139/Mgrn1/Bfar/Cblb/Ltn1/Prkn/Med20/Mib1/Rnf138/Ube2d2a/Rnf14/Nedd4l/Mex3c/Uhrf2/Hectd2/Btrc/Neurl1a/Peli3/Nt5c2	107
GO:0019902	phosphatase binding	85/3354	247/28366	0.34412955465587	2.91042902426011	11.0427734235603	1.02183988075682e-20	1.23271047433118e-18	7.65646532662764e-19	Stat1/Kifap3/Bcl2/Atp2b4/Smg7/Tprn/Ambra1/Spred1/Ctnnd1/Cry2/Trpc4ap/Stau1/Foxo1/Ensa/Ppp3r2/Jak1/Mast2/Rcan3/Magi2/Ankle2/Pxn/Anapc5/Gna12/Ppp1r9a/Eif2ak3/Klre1/Cdkn1b/Chchd3/Wnk1/Strn4/Cadm4/Vrk3/Sytl2/Dlg2/Mapk3/Ppp6r1/Sbf2/Mvp/Mfhas1/Ell/Terf2ip/Insr/Irs2/Ikbkb/Map3k5/Snx3/Cabin1/Cry1/Hsp90b1/Tbk1/Ppp3r1/Ppp2ca/Kif3a/Dlg4/Ppp1r9b/Mtmr3/Bod1/Cpd/Rps6kb1/Akap1/Jup/Stat3/Cdc27/Grb2/Dtnb/Traf3/Phactr1/Ap3b1/Hmgcr/Mapk8/Ppp2r2a/Akap11/Adcy8/Nptxr/Dlg1/Mapk14/Fer/Sh3gl1/Strn/Dtna/Cep192/Smad2/Bad/Shoc2/Ppp6r3	85
GO:0035173	histone kinase activity	103/3354	366/28366	0.281420765027322	2.38007794298301	9.73114300789596	1.46121002089201e-17	1.61585474810308e-15	1.00362056698109e-15	Map4k4/Pikfyve/Stk16/Speg/Dstyk/Abl2/Cdc42bpa/Clk1/Erbb4/Mapkapk2/Uhmk1/Akt3/Eif2ak4/Stk35/Csnk2a1/Stk39/Hipk3/Ttbk2/Trpm7/Tnik/Pik3ca/Dclk1/Dclk2/Hipk1/Lyn/Epha7/Map3k7/Stk40/Jak1/Prkaa2/Mast2/Yes1/Taok3/Baz1b/Eif2ak1/Gak/Ulk1/Mapkapk5/Eif2ak3/Aak1/Hipk2/Braf/Raf1/Wnk1/Akt2/Igf1r/Sbk2/Ntrk3/Stk33/Smg1/Fgfr2/Fgfr1/Nek1/Insr/Ikbkb/Pkn1/Sik3/Pkm/Cilk1/Atr/Snrk/Sik2/Map2k5/Mapkapk3/Oxsr1/Sgk1/Fyn/Stk11/Nuak1/Tbk1/Tlk2/Map2k6/Limk2/Map2k4/Taok1/Rps6kb1/Rock2/Mark3/Map4k5/Rps6ka5/Prpf4b/Riok1/Ntrk2/Lats2/Stk24/Lrrk2/Tssk5/Dyrk1a/Pak2/Epha3/Fer/Stk19/Map4k3/Riok3/Csnk1g3/Csnk1a1/Rock1/Chka/Jak2/Slk/Mark2/Pim2/Rps6ka3	103
GO:0140996	histone H3 kinase activity	102/3354	362/28366	0.281767955801105	2.38301426185276	9.69771959411227	1.91058641655914e-17	1.95026782674922e-15	1.21132725843385e-15	Map4k4/Pikfyve/Stk16/Speg/Dstyk/Abl2/Cdc42bpa/Clk1/Erbb4/Mapkapk2/Uhmk1/Akt3/Eif2ak4/Stk35/Csnk2a1/Stk39/Hipk3/Ttbk2/Trpm7/Tnik/Pik3ca/Dclk1/Dclk2/Hipk1/Lyn/Epha7/Stk40/Jak1/Prkaa2/Mast2/Yes1/Taok3/Baz1b/Eif2ak1/Gak/Ulk1/Mapkapk5/Eif2ak3/Aak1/Hipk2/Braf/Raf1/Wnk1/Akt2/Igf1r/Sbk2/Ntrk3/Stk33/Smg1/Fgfr2/Fgfr1/Nek1/Insr/Ikbkb/Pkn1/Sik3/Pkm/Cilk1/Atr/Snrk/Sik2/Map2k5/Mapkapk3/Oxsr1/Sgk1/Fyn/Stk11/Nuak1/Tbk1/Tlk2/Map2k6/Limk2/Map2k4/Taok1/Rps6kb1/Rock2/Mark3/Map4k5/Rps6ka5/Prpf4b/Riok1/Ntrk2/Lats2/Stk24/Lrrk2/Tssk5/Dyrk1a/Pak2/Epha3/Fer/Stk19/Map4k3/Riok3/Csnk1g3/Csnk1a1/Rock1/Chka/Jak2/Slk/Mark2/Pim2/Rps6ka3	102
GO:0003713	transcription coactivator activity	78/3354	242/28366	0.322314049586777	2.725927349606	9.87393723430567	3.00956234282469e-17	2.72247193129841e-15	1.69094952778856e-15	Tada1/Edf1/Med27/Asxl1/Prpf6/Ncoa6/Jade1/Med12l/Crtc2/Bcl10/Maml3/Bcl9/Ssbp3/Mycbp/Rere/Psip1/Mysm1/Thrap3/Kmt2e/Kmt2c/Hipk2/Ube3a/Crtc3/Nup98/Ctbp2/Kat6a/Wwox/Crtc1/Maml2/Carm1/Smarca4/Npat/Pkm/Birc2/Med17/Pml/Hcfc2/Naca/Ccar1/Arid5b/Sertad2/Trim37/Maml1/Usp22/Med13/Jup/Wbp2/Myt1l/Mta1/Ncoa1/Setd3/Cdca4/Phf2/Jmy/Kat6b/Zmiz1/Tsc22d1/Tdrd3/Mtdh/Med30/Sub1/Yaf2/Mrtfb/Usp16/Dyrk1a/Crebbp/Nrip1/Daxx/Med20/Kat2b/Lpin2/Ss18/Nr3c1/Mta2/Smarca2/Kat5/Mms19/Ldb1	78
GO:0141003	histone H2AX kinase activity	101/3354	359/28366	0.28133704735376	2.37936991211591	9.63148805285502	3.07739856589873e-17	2.72247193129841e-15	1.69094952778856e-15	Map4k4/Pikfyve/Stk16/Speg/Dstyk/Abl2/Cdc42bpa/Clk1/Erbb4/Mapkapk2/Uhmk1/Akt3/Eif2ak4/Stk35/Csnk2a1/Stk39/Hipk3/Ttbk2/Trpm7/Tnik/Pik3ca/Dclk1/Dclk2/Hipk1/Lyn/Epha7/Stk40/Jak1/Prkaa2/Mast2/Yes1/Taok3/Baz1b/Eif2ak1/Gak/Ulk1/Mapkapk5/Eif2ak3/Aak1/Hipk2/Braf/Raf1/Wnk1/Akt2/Igf1r/Sbk2/Ntrk3/Stk33/Smg1/Fgfr2/Fgfr1/Nek1/Insr/Ikbkb/Sik3/Pkm/Cilk1/Atr/Snrk/Sik2/Map2k5/Mapkapk3/Oxsr1/Sgk1/Fyn/Stk11/Nuak1/Tbk1/Tlk2/Map2k6/Limk2/Map2k4/Taok1/Rps6kb1/Rock2/Mark3/Map4k5/Rps6ka5/Prpf4b/Riok1/Ntrk2/Lats2/Stk24/Lrrk2/Tssk5/Dyrk1a/Pak2/Epha3/Fer/Stk19/Map4k3/Riok3/Csnk1g3/Csnk1a1/Rock1/Chka/Jak2/Slk/Mark2/Pim2/Rps6ka3	101
GO:0044389	ubiquitin-like protein ligase binding	97/3354	347/28366	0.279538904899135	2.36416236623998	9.36274508347877	2.06253818195766e-16	1.71061760466114e-14	1.06247855031109e-14	Stat1/Abi2/Dnajb2/Psmd1/Yod1/Parp1/Ube2w/Bcl2/Ndufs2/Stam/Anapc2/Ambra1/Pax6/Itch/Ubox5/Hltf/Foxo1/Fbxw7/Dbt/Bcl10/Prkacb/Lyn/Map3k7/Ube2j1/Faf1/Mul1/Ube2j2/Jak1/Kdm4a/Ube2k/Rpl5/Rnf34/Cul1/Cdkn1b/Zfp746/Tpi1/Cul4a/Mfhas1/Prkaca/Gabarapl2/Bag4/Usp2/Ubash3b/Cul5/Pml/Pias1/Shprh/Sumo3/Ube2n/Stat2/Pa2g4/Fancl/Gabarap/Ube2g1/Crk/Trim37/Spop/Casc3/Polr2a/Nlk/Nploc4/Smc6/Psma3/Hif1a/Traf3/Dio2/Atxn3/Faf2/Caml/Smad5/Ankra2/Rala/Rhobtb3/Slf1/Rb1/Myc/Triobp/Tmbim6/Pcbp2/Derl1/Ccdc50/Ubxn7/Usp25/Snx9/Prkn/Tcp1/Daxx/Bag6/Pacrg/Cul2/Apc/Smad7/Smad2/Pias2/Hspa9/Grk2/Cacul1	97
GO:0035402	histone H3T11 kinase activity	78/3354	252/28366	0.30952380952381	2.61775562938354	9.44605745806307	3.93488270019595e-16	3.07152314303531e-14	1.90774808312906e-14	Map4k4/Pikfyve/Stk16/Speg/Cdc42bpa/Mapkapk2/Uhmk1/Akt3/Eif2ak4/Stk35/Csnk2a1/Stk39/Hipk3/Ttbk2/Trpm7/Tnik/Pik3ca/Dclk1/Dclk2/Hipk1/Stk40/Prkaa2/Mast2/Taok3/Eif2ak1/Gak/Ulk1/Mapkapk5/Eif2ak3/Aak1/Hipk2/Braf/Raf1/Wnk1/Akt2/Sbk2/Stk33/Smg1/Nek1/Ikbkb/Pkn1/Sik3/Pkm/Cilk1/Atr/Snrk/Sik2/Mapkapk3/Oxsr1/Sgk1/Stk11/Nuak1/Tbk1/Tlk2/Limk2/Taok1/Rps6kb1/Rock2/Mark3/Map4k5/Rps6ka5/Prpf4b/Riok1/Lats2/Stk24/Lrrk2/Tssk5/Pak2/Stk19/Map4k3/Riok3/Csnk1g3/Csnk1a1/Rock1/Slk/Mark2/Pim2/Rps6ka3	78
GO:0031625	ubiquitin protein ligase binding	92/3354	326/28366	0.282208588957055	2.38674085699339	9.22176009155677	6.402884055601e-16	4.7203484121014e-14	2.93184690966993e-14	Abi2/Dnajb2/Psmd1/Yod1/Parp1/Ube2w/Bcl2/Ndufs2/Anapc2/Ambra1/Pax6/Ubox5/Hltf/Foxo1/Fbxw7/Dbt/Bcl10/Prkacb/Lyn/Map3k7/Ube2j1/Faf1/Mul1/Ube2j2/Jak1/Kdm4a/Ube2k/Rpl5/Rnf34/Cul1/Cdkn1b/Zfp746/Tpi1/Cul4a/Mfhas1/Prkaca/Gabarapl2/Bag4/Usp2/Ubash3b/Cul5/Pml/Pias1/Shprh/Ube2n/Pa2g4/Fancl/Gabarap/Ube2g1/Crk/Trim37/Spop/Casc3/Polr2a/Nlk/Nploc4/Smc6/Psma3/Hif1a/Traf3/Dio2/Atxn3/Faf2/Caml/Smad5/Ankra2/Rala/Rhobtb3/Slf1/Rb1/Myc/Triobp/Tmbim6/Pcbp2/Derl1/Ccdc50/Ubxn7/Usp25/Snx9/Prkn/Tcp1/Daxx/Bag6/Pacrg/Cul2/Apc/Smad7/Smad2/Pias2/Hspa9/Grk2/Cacul1	92
