gene	chr	start	end	mc_ctrl	mc_mut	mc_diff	mc_q	mc_sig	hmc_ctrl	hmc_mut	hmc_diff	hmc_q	hmc_sig	total_ctrl	total_mut	ratio_ctrl	ratio_mut	delta_ratio	dmr_status	chromatin_state
Aym1	chr5	113357293	113357820	0.0584415584415584	0.0505747126436782	-0.00786684579788028	0.815020524305903	FALSE	0.0811688311688312	0	-0.0811688311688312	0.157786772320766	FALSE	0.13961038961039	0.0505747126436782	0.581395348837209	0	-0.581395348837209	Not DMR	Other
Ier3	chr17	35821683	35822922	0.00568245036796846	0.0154755424216502	0.00979309205368174	0.343604957695537	FALSE	0.0310826061386359	0.00598802395209581	-0.0250945821865401	0.0172626409082419	TRUE	0.0367650565066044	0.021463566373746	0.845438824038046	0.278985507246377	-0.566453316791669	hmC DMR only	Active_Promoter
H2ac4	chr13	23751125	23751597	0	0.00434782608695652	0.00434782608695652	0.983906739986994	FALSE	0.0410958904109589	0.00434782608695652	-0.0367480643240024	0.0688778921868143	FALSE	0.0410958904109589	0.00869565217391304	1	0.5	-0.5	Not DMR	Other
Fam89b	chr19	5728086	5729652	0.00276243093922652	0.0151846942891719	0.0124222633499454	0.320376315414491	FALSE	0.0132336351277082	0.00833861580130237	-0.00489501932640583	0.514742041840701	FALSE	0.0159960660669347	0.0235233100904743	0.827305605786618	0.354483096521313	-0.472822509265305	Not DMR	Active_Promoter
Gm3424	chr14	5821933	5830328	0.0625	0.186868686868687	0.124368686868687	0.493149522674233	FALSE	0.197916666666667	0.0782828282828283	-0.119633838383838	0.408952977506703	FALSE	0.260416666666667	0.265151515151515	0.76	0.295238095238095	-0.464761904761905	Not DMR	Other
Nkx2-9	chr12	56611388	56613283	0.0126068376068376	0.015625	0.00301816239316239	0.904532285407714	FALSE	0.00854700854700855	0	-0.00854700854700855	0.508921259401975	FALSE	0.0211538461538462	0.015625	0.404040404040404	0	-0.404040404040404	Not DMR	Repressed_Promoter
Naa38	chr11	69395486	69396679	0.002344239518348	0.00965457121063528	0.00731033169228729	0.10860319248225	FALSE	0.0168333015501131	0.00902800479459518	-0.00780529675551787	0.126828480380028	FALSE	0.0191775410684611	0.0186825760052305	0.877761204631011	0.483231262758822	-0.394529941872189	Not DMR	Active_Promoter
Rraga	chr4	86575667	86577284	0.00283179455566919	0.00618715596330275	0.00335536140763356	0.492214306665426	FALSE	0.00854266780615605	0.00385810397553517	-0.00468456383062088	0.299049269563647	FALSE	0.0113744623618252	0.0100452599388379	0.751039260969977	0.384072089624939	-0.366967171345038	Not DMR	Active_Promoter
Alyref2	chr1	171503477	171504749	0.0198821339950372	0.020142113802943	0.000259979807905764	0.989975766393866	FALSE	0.0235421836228288	0.00505231354557153	-0.0184898700772573	0.044897773188501	TRUE	0.043424317617866	0.0251944273485145	0.542142857142857	0.200532978014657	-0.3416098791282	hmC DMR only	Active_Promoter
Hmx3	chr7	131542866	131544924	0.0220588235294118	0.015625	-0.00643382352941177	0.792691138824743	FALSE	0.0104166666666667	0	-0.0104166666666667	0.737010861866259	FALSE	0.0324754901960784	0.015625	0.320754716981132	0	-0.320754716981132	Not DMR	Repressed_Promoter
Tlx2	chr6	83068323	83070292	0.0590094836670179	0.0118213058419244	-0.0471881778250935	0.114963832413879	FALSE	0.0260800842992624	0	-0.0260800842992624	0.228660568762272	FALSE	0.0850895679662803	0.0118213058419244	0.306501547987616	0	-0.306501547987616	Not DMR	Repressed_Promoter
Gm19668	chr10	77798386	77799132	0.266666666666667	0.347619047619048	0.0809523809523809	0.841688065298633	FALSE	0.372222222222222	0.138095238095238	-0.234126984126984	0.218189018650381	FALSE	0.638888888888889	0.485714285714286	0.582608695652174	0.284313725490196	-0.298294970161978	Not DMR	Other
Higd2a	chr13	54590206	54591157	0	0.00378787878787879	0.00378787878787879	0.828622974414179	FALSE	0.0286505424954792	0.00898203592814371	-0.0196685065673355	0.325644119558634	FALSE	0.0286505424954792	0.0127699147160225	1	0.703374777975133	-0.296625222024867	Not DMR	Active_Promoter
Spry2	chr14	105891946	105896818	0.0367776408768557	0.218929340339072	0.182151699462217	1.48075913660959e-65	TRUE	0.0467589850468296	0.0828703799851855	0.0361113949383559	6.11504201535647e-07	TRUE	0.0835366259236853	0.301799720324258	0.559742322960783	0.274587331943676	-0.285154991017108	Both mC+hmC DMR	Active_Promoter
H3c8	chr13	23535421	23535950	0.0177949416931698	0.016815463292017	-0.000979478401152784	0.904316633145067	FALSE	0.00704225352112676	0	-0.00704225352112676	0.571639166412245	FALSE	0.0248371952142965	0.016815463292017	0.283536585365854	0	-0.283536585365854	Not DMR	Other
Gadd45g	chr13	51846677	51848467	0.0541140719962599	0.0324764982373678	-0.0216375737588921	0.249037652431523	FALSE	0.0937353903693315	0.0189923619271445	-0.0747430284421869	0.000453737685324981	TRUE	0.147849462365591	0.0514688601645123	0.63399209486166	0.369006849315068	-0.264985245546592	hmC DMR only	Active_Promoter
Rpp25l	chr4	41712032	41713533	0.00796911421911422	0.0300532800532801	0.0220841658341658	0.127436414588391	FALSE	0.016215034965035	0.0236152736152736	0.00740023865023865	0.68029158496272	FALSE	0.0241841491841492	0.0536685536685537	0.670481927710843	0.440020682523268	-0.230461245187576	Not DMR	Active_Promoter
