ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0016607	nuclear speck	221/6233	438/28779	0.504566210045662	2.32968248979691	14.7442109604774	1.02288796599059e-40	7.83532181948795e-38	2.72411216205916e-38	Serpinb13/Dennd1b/Cop1/Sf3b1/Sumo1/Trip12/Hdac4/Uhmk1/Nek6/Snrpb2/Nxt1/Prpf6/Cacnb4/Prpf40a/Nr4a2/Cir1/Cwc22/Dgkz/Cry2/Api5/Oip5/Zfp106/Crnkl1/Rbm39/Jade1/Plrg1/Adar/Gatad2b/Pias3/Eif4e/Maml3/Rfxap/Dhx36/Ccnl1/Chtop/Pip5k1a/Scnm1/Prpf3/Hipk1/Rbm15/Srsf11/Virma/Pnisr/Fbxl4/Abitram/Prpf4/Sf3a3/Syf2/Srsf10/Hp1bp3/Dnajc11/Ccnl2/Topors/Smu1/Prkaa2/Toe1/Ppih/Thrap3/S100pbp/Ppp1r8/Fam76a/Srrm1/Tardbp/Kmt2e/Ythdc1/Cops4/Tfip11/Srsf9/Ppp1cc/Rnf34/Srpk2/Dhx15/Ep400/Sart3/Luc7l2/Zfp638/Ogg1/Atoh8/Dusp11/Wbp11/U2af2/Snrpa1/Ctr9/Setd1a/Lhpp/Itpkc/Snrnp70/Unc45a/Il16/Hikeshi/Apbb1/Atxn2l/Kat6a/Prkaca/Fto/Zc3h18/Arglu1/Il15/Taf5l/Fam76b/Rp9/Pias1/Tcf12/Morf4l1/Rad54l2/Bclaf1/Sgk1/Ascc3/Sf3a2/Baz2a/Sarnp/Cdc40/Eif4enif1/Sf3a1/Ppp4r3b/Psme4/Slu7/Mapk9/Alkbh5/Ncbp3/Prpf8/Spop/Cdk12/Msl1/Casc3/Atp6v0a1/Hexim2/Ddx42/Maml1/Atpaf2/Myocd/Nsrp1/Luc7l3/Cwc25/Hdac5/Eftud2/Ddx5/Smurf2/Usp36/Eif4a3/Alyref/Smc6/Nampt/Hif1a/Srsf5/Rbm25/Ylpm1/Zc3h14/Cbll1/Hbp1/Hectd1/Eapp/Snw1/Nrde2/Ppp4r3a/Prpf4b/Cdyl/Ddx46/Mef2c/Ak6/Mocs2/Cdk13/Thoc3/Fam193b/Srek1/Mtrex/Eaf1/Sap18/Zfp395/Zc3h13/Thoc7/Acin1/Pspc1/Bnip3l/Wbp4/Prkaa1/Tab1/Phf5a/Poldip3/Rmi2/Fyttd1/Son/Dyrk1a/Eaf2/Nfkbiz/Nrip1/Prkn/Afdn/Srrm2/Mapk14/Ddx39b/Wtap/Ilrun/Srpk1/U2af1/Akap8l/Brd2/Stk19/Cdc5l/Srsf7/Wac/Thoc1/Sap130/Ik/Rbm27/Csnk1a1/Mbd1/Pias2/Nr3c1/Nxf1/Prpf19/Patl1/Grk5/Rbm4/Sf3b2/Sart1/Smc5/Noc3l/Smndc1/Foxo4/Akap17b	221
GO:0030133	transport vesicle	215/6233	438/28779	0.490867579908676	2.26643319143138	14.0428698468211	2.58411153797875e-37	9.89714719045862e-35	3.44094852162434e-35	Atp6v1h/Arpc2/Mff/Klhl12/Stx6/Cnst/Sema4c/Atg9a/Ptprn/Ap1s3/Dbi/Tmem163/Psen2/Syt13/Bdnf/Lin7c/Chp1/Bloc1s6/Snap25/Pcsk2/Sec23b/Stx16/Gnas/Dnajc5/Sec16a/Tor1a/Dnm1/Slc2a8/Rab14/Madd/Trpm7/Bcl2l1/Sv2a/Sec22b/Syt6/Ap4b1/Sort1/Vps45/Kcnc4/Slc6a17/Ap1ar/Sec24b/Sh3glb1/Rab2a/Clta/Atp6v1g1/Ppt1/Pef1/Plekhf2/Azin2/Stx12/Kif1b/Park7/Vamp3/Uso1/Cops4/Btbd8/Steap2/Atp8a1/Sec31a/Svop/Pebp1/Rph3a/Ap1s1/Rac1/Dync1i1/Exoc4/Atp6v0e2/Itpr1/Syn2/Vamp1/Borcs5/Sspn/Ica1/Tmem168/Snca/Rab11fip5/Rab7/Iqsec1/Sec13/Erc1/Atp6v1e1/Slc2a3/Ntf3/Ankrd27/Slc17a7/Ube3a/Vps33b/Picalm/Sytl2/Dlg2/Map6/Rab6a/Syt9/Sec23ip/Ap2a2/Rab4b/Ap2a1/Lin7b/Sv2b/Lamp1/Atp6v1b2/Ap1g1/Znrf1/Rab4a/Vdac3/Ap3m2/Clcn3/Cpe/Exoc3l/Atp6v0d1/Mtmr2/Kirrel3/Bace1/Cadm1/Spg21/Adam10/Rab27a/Atr/Scap/Rab3d/Sorl1/Dmxl2/Rab11a/Aph1b/Rab8b/Unc13c/Scg3/Tmem30a/Snap91/Slc35g2/Bsn/Slc18b1/Stx7/Sar1a/Atp2b1/Ppfia2/Lin7a/Arfgef3/Akap7/Gopc/Sgta/Syt1/Rab5b/Spred2/Sar1b/Vdac1/Septin8/Vamp2/Dlg4/Synrg/Septin4/Atp6v0a1/Aftph/Sec24a/Rnf112/Ndel1/Doc2b/Rph3al/Cltc/Rab5c/Gosr2/Unc13d/Nptx1/Kif3c/Psen1/Calm1/Ptprn2/Rab10/Sec23a/Atp6v1d/Vti1b/Tmed10/Amph/Mctp1/Bloc1s5/Dtnbp1/Cltb/Pdcd6/Scamp1/Sv2c/Slc30a5/Rab3c/Synpr/Sec24c/Vdac2/Galnt15/Lgi3/Syngr1/Srebf2/Lrrk2/Snap29/Ap2m1/Dlg1/Grin2a/Dnm1l/Atp6v1a/App/Prkn/Rab5a/Igf2r/Atp6v0c/Rab40c/Rab11b/Rab12/Calm2/Bin1/Apc/Wdr7/Syt4/Sptbn2/Syt7/Pi4k2a/Syt12/Cdk16	215
GO:0030135	coated vesicle	144/6233	254/28779	0.566929133858268	2.61762450558432	13.6152576908067	3.88611441617493e-34	9.92254547596666e-32	3.44977876242898e-32	Atp6v1h/Lmbrd1/Klhl12/Dennd1b/Astn1/Copa/Cnih4/Lman2l/Hspd1/Ap1s3/Gpr107/Golga2/Vps18/Vps16/Sec23b/Gnas/Dnajc5/Sec16a/Surf4/Dnm1/Rab14/Rgs19/Sec22b/Ap4b1/Sort1/Sec24b/Clvs1/Clta/Dnajc6/Pef1/Ece1/Dvl1/Ecpas/Astn2/Necap2/Vamp3/Htt/Uso1/Btbd8/Kdelr2/Steap2/Sec31a/Tmed5/Gak/Vps33a/Ap1s1/Rnf216/Atp6v0e2/Aak1/Copg1/Necap1/Copg2/Tex261/Sec13/Atp6v1e1/Ergic2/Epn1/Ap2s1/Yif1b/Kdelr1/Vps33b/Picalm/Inpp5f/Sec23ip/Ap2a2/Ap2a1/Copb1/Pik3c2a/Atp6v1b2/Ap1g1/Ddhd2/Atp6v0d1/Dnm2/Spg21/Adam10/Rab27a/Myo6/Copb2/Scap/Vps11/Arcn1/Rab8b/Snap91/Dipk2a/Snx3/Sar1a/Reep6/Gopc/Scyl2/Lrp1/Clint1/Sar1b/Gas7/Vamp2/Dvl2/Ap2b1/Synrg/Atp6v0a1/Tmed4/Aftph/Sec24a/Arf1/Epn2/Tmem199/Cltc/Gosr2/Wipi1/Unc13d/Golga5/Sec23a/Atp6v1d/Vti1b/Numb/Tmed10/Vps41/Ap3b1/Cltb/Pdcd6/Scamp1/Fcho2/Slc30a5/Snx18/Sec24c/Srebf2/Pheta2/Adcy8/Ap2m1/Tnk2/Atp6v1a/App/Snx9/Ergic1/Pacsin1/Igf2r/Atp6v0c/Tbc1d5/Rab12/Ier3ip1/Yipf5/Tmed7/Lman1/Pacs1/Pank1/Actr1a	144
GO:0005769	early endosome	210/6233	445/28779	0.471910112359551	2.17890279537871	13.1779596803138	2.37478627223922e-33	4.54771571133811e-31	1.58110770230664e-31	Inpp4a/Pikfyve/Stx6/Kcnh1/Ptp4a1/Tgfbrap1/Myo1b/Hspd1/Trak2/Als2/Ap1s3/Wdfy1/Tmem163/Rabgap1l/Psen2/Stam/Rapgef1/Gpr107/Plekha3/Vps18/Usp8/Tmem127/Vps16/Tm9sf4/Itch/Snx21/Ptpn1/Rab22a/Entr1/Rab14/Stam2/Cytip/Ehd4/Pla2g4e/Kif16b/Snx5/Atp9a/Atp11b/Sort1/Siah2/Snx27/Rap1a/Ank2/Sh3glb1/Clvs1/Snx30/Tlr4/Angptl3/Inpp5b/Ptp4a2/Wasf2/Rap1gap/Ece1/Plekhf2/Ecpas/Fkbp15/Astn2/Zfyve9/Zmpste24/Stx12/Ldlrap1/Epha8/Vamp3/Mib2/Htt/Rabgef1/Gper1/Lmtk2/Steap2/Napepld/Zfyve28/Nsg1/Apbb2/Tpcn1/Vps33a/Slc15a4/Ap1s1/Rac1/Cntnap2/Wipf3/Chmp3/Arl8b/Washc2/Marchf8/D6Wsu163e/Rep15/Stambp/Rab11fip5/Rbsn/Lrp6/Akt2/Clip3/Ankrd27/Vps33b/Picalm/Mapk3/Inpp5f/Rab4b/Pld3/Plekhf1/Nucb1/Hps5/Tsg101/Nipa2/Arrdc4/Uvrag/Trim3/Tmem9b/Gatd1/Tom1/Vps4a/Ap1g1/Usp10/Rab4a/Ap3m2/Clcn3/Snx20/Atp6v0d1/Chmp1a/Mtmr2/Ldlr/Bace1/Hyal3/Cmtm6/Trak1/Vps26b/Sorl1/Vps11/Pml/Map2k1/Snx1/Lipc/Tmem30a/Tbc1d2b/Tmem108/Dnajc13/Ptpn23/Stx7/Snx3/Map2k2/Washc4/Washc3/Eea1/Vps26a/Ap3d1/Plekhj1/Appl2/Rab21/Mon2/Lrp1/Rab5b/Bloc1s1/Rab1a/Llgl1/Rabep1/Ankfy1/Rnft1/Aoc3/Hgs/Ankrd13b/Nme1/Rab5c/Cd300ld3/Gga3/Tbc1d16/Snx13/Psen1/Snx6/Vti1b/Zfyve26/Numb/Vps41/Trim27/Ntrk2/Arrdc3/Ap3b1/Zfyve16/Wdfy2/Ap3m1/Appl1/Vps13b/Gga1/Pheta2/Derl1/Washc5/Slc11a2/Mgrn1/Mapk1/Snx4/Dop1b/Atp13a3/Rubcn/Epha3/App/Cryzl1/Rab5a/Washc1/Ehd3/Ppp1r21/Igf2r/Sh3gl1/Rab31/Ap3s1/Snx2/Ldlrad4/Marchf3/Adrb2/Pi4k2a/Prdx3/Gripap1	210
GO:0061695	transferase complex, transferring phosphorus-containing groups	147/6233	272/28779	0.540441176470588	2.49532434103113	13.0283138843346	1.07614190509653e-31	1.64864939860788e-29	5.73187162082994e-30	Tcea1/Rb1cc1/Gmppa/Cab39/Ccnt2/Irs1/Cdc73/Acvr2a/Polr1b/Polr3f/Csnk2a1/Polr3k/Taf3/Cdk9/Acvr1c/Acvr1/Atg13/Ext2/Pcna/Taf4/Prkci/Pik3ca/Taf13/Alg14/Papss1/Pex2/Ccna2/Ccnl1/Polr3gl/Prkacb/Ccnc/Taf12/Cdk11b/Ccnl2/C9orf72/Prkaa2/Polr2b/Ccng2/Crcp/Polr2j/Trrap/Cdk8/Polr1d/Prkag2/Ccni/Ulk1/Taf6/Prkar1b/Polr1a/Erc1/Gtf2h1/Igf1r/Ctr9/Polr3e/Phkg2/Polg/Uvrag/Pold3/Taf10/Polr2l/Ccnd1/Gtf2e2/Prkaca/Phkb/Pard6a/Vac14/Cdk10/Insr/Ikbkb/Csnk2a2/Taf5l/Pkm/Gtf2a2/Leo1/Gmppb/Prkar2a/Acvr2b/Cdkn2d/Polr2m/Map3k5/Rev3l/Stk11/Zbtb7a/Cdk4/Tbpl1/Polrmt/Ccnjl/Smcr8/Cdk12/Psmc5/Prkar1a/Pold2/Ccng1/Usp22/Polr2a/Ccnq/Med13/Becn1/Strada/Prps1l3/Mnat1/Ccnk/Pole2/Snw1/Gtf2a1/Ccnh/Taf9/Pfkp/Cdk13/Polr3g/Cdk7/Pik3r1/Atxn7/Nek10/Polr3a/Atg14/Polr3d/Rb1/Gtf2f2/Prkaa1/Xrcc6/Pfkm/Atg101/Taf2/Polr3h/Ccnt1/Prkag1/Gtf2e1/Gtf2h5/Tbp/Ccnf/Taf11/Brd4/Csnk2b/Polr1c/Taf8/Tbc1d5/Pik3c3/Ercc3/Ccny/Ccnj/Taf5/Polr2g/Chuk/Cdk16/Las1l/Taf9b	147
GO:0005819	spindle	201/6233	435/28779	0.462068965517241	2.13346426417787	12.5246617927635	1.96507567319714e-30	2.50874660944836e-28	8.72217798805049e-29	Cspp1/Terf1/Septin2/Clasp1/Tmem9/Kifap3/Fmn2/Ptp4a1/Hecw2/Cul3/Vps4b/Cep350/Cep170/Wdr5/Odf2/Golga2/Cntrl/Nek6/Rif1/Pkp4/Ckap5/Kif18a/Katnbl1/Haus2/Tubgcp4/Ttl/Cdc25b/Kat14/Nsfl1c/Chmp4b/Cep250/Spout1/Ino80/Kif16b/Fam110a/Dido1/Tbl1xr1/Map9/Arhgef2/Zzz3/Ubxn2b/Rmdn1/Clta/Aunip/Luzp1/Klhl21/Cep104/Topors/Dctn3/Cdk5rap2/Map7d1/Epb41/Nudc/Rps6ka1/Tmem201/Mapre3/Agbl5/Maea/Crmp1/Pkd2/Cdc7/Dr1/Ttc28/Anapc7/Kntc1/Fry/Haus3/Evi5/Anapc5/Katnal1/Dync1i1/Cbx3/Chmp3/Dctn1/Alms1/Kbtbd8/Arl8b/Klhl42/Hepacam2/Wnk1/Mical3/Sirt2/Ngrn/Numa1/Abraxas2/Lsm14a/Mapk1ip1/Arhgef7/Cdc16/Champ1/Ppp2cb/Map1s/Cyld/Katnb1/Vps4a/Phlpp2/Tubb3/Polb/Tnks/Enkd1/Chmp1a/Ccsap/Dcun1d5/Septin7/Zw10/Tfdp2/Stag1/Rassf1/Map4/Clasp2/Dync1li1/Map2k5/Rab11a/Specc1l/Dapk3/Poc1b/Nudcd2/Ppp2ca/Kif3a/Myh10/Git1/Poldip2/Zfp207/Ska2/Cbx1/Tubg2/Cep95/Limk2/Ccdc117/Camk2b/Bod1/Ccdc69/Flcn/Ncor1/Ndel1/Pafah1b1/Cltc/Cdc27/Fbf1/Csnk1d/Smc6/Rock2/Calm1/Eml1/Cep128/Nsun2/Acot13/Kif2a/Wapl/Parp4/Bora/Rtraf/Lats2/Ccar2/Rb1/Mzt1/Hsf1/Myh9/Ttll12/Tubgcp6/Racgap1/Mapk1/Klhl22/Iqcb1/Gsk3b/Mzt2/Tbccd1/Chmp2b/App/Dynlt1b/Mapk14/Kat2b/Ddx11/Ypel5/Spast/Birc6/Eml4/E4f1/Lemd2/Sgo1/Tubb4a/Ralbp1/Mtcl1/Calm2/Mapre2/Ik/Dctn4/Csnk1a1/Chmp1b/Diaph1/Hdac3/Nr3c1/Prpf19/Lzts2/Smc3/Kat5/Mms19/Arl3/Tbl1x/Smc1a/Dynlt3	201
GO:0098791	Golgi apparatus subcompartment	180/6233	375/28779	0.48	2.21625541472806	12.4650718125278	6.67748123028627e-30	7.30707231771326e-28	2.54045526505628e-28	Mob4/Relch/Nmnat2/Stx6/Vamp4/B4galt3/Cnst/Rgs20/Vcpip1/Arfgef1/Mgat4a/Uxs1/Myo1b/Hspd1/Atg9a/Ap1s3/Klhl20/Arl5b/Golga2/Gorasp2/Plekha3/Ap4e1/Tmem87b/Snap25/Nsfl1c/Mmp24/Sys1/Slc9a8/Stx16/Gnas/Inpp5e/Rab14/Golga1/Arl5a/Tmem87a/Necab3/B4galt5/Atp9a/Arfrp1/Lrba/Ap4b1/Sort1/Nbea/Golim4/Arfip1/Slc30a7/Clvs1/Tmem59/AU040320/Fut9/B4galt1/St3gal3/Azin2/Akap9/Pclo/Uso1/Golga3/Tpst2/Tpst1/Caln1/Gper1/Nsg1/Atp8a1/Yipf7/Ap1s1/Rac1/Plekha8/Ccdc91/Bicd1/Ica1/Clip3/Rasip1/Chsy1/Rab30/Rab6a/Stx4a/Nucb1/Sec1/Arfip2/Dennd5a/Pik3c2a/Bet1l/Chid1/Ap1g1/St3gal2/Galnt2/Cog2/Glg1/Chst5/Mbtps1/Dnm2/Bace1/Scamp2/Adam10/Dop1a/Clasp2/Sorl1/Rab11a/Atp2c1/Bsn/Hace1/Sar1a/Scamp4/Arl1/Ap3d1/Plekhj1/Rab21/Vps54/Mgat4b/Sar1b/Llgl1/Vamp2/Inpp5k/Myo18a/Crhr1/Aftph/Arf1/Vps53/Cpd/5730455P16Rik/Becn1/Wipi1/Gga3/Cant1/Asap2/Eipr1/Scfd1/Ap4s1/Mgat2/Atl1/Fut8/Slc39a9/Golga5/Rab10/Trappc6b/Zfyve1/B4galt7/Ap3b1/Slc35b3/Kif13a/Cltb/Scamp1/Slc30a5/Ift88/Cog3/Golph3/Vps13b/Gga1/Pheta2/Lrrk2/Trappc9/Slc11a2/Smpd4/Dop1b/Tbc1d23/Snx9/Man2a1/Slc30a6/Yipf4/Birc6/Igf2r/Rab11fip3/Cd2ap/Gpr108/Rab31/Prepl/Galnt1/Ap3s1/B4galt6/Yipf5/Ndst1/Atp9b/Osbp/Mlana/Pi4k2a/Gbf1/Gcnt1/Sgms1/Dnmbp/Ccdc186	180
GO:0032279	asymmetric synapse	217/6233	488/28779	0.444672131147541	2.05313962173834	12.3371779844851	7.67679496234701e-30	7.35053117644726e-28	2.55556463878131e-28	Dst/Inpp4a/Nck2/Map2/Kcnh1/Adgrb3/Sema4c/Als2/Erbb4/Srgap2/Adora1/Dnm3/Gpr158/Kcnt1/Olfm1/Tsc1/Rpl12/Pkp4/Tanc1/Rapgef4/Hnrnpa3/Lrp4/Lrrc4c/Lin7c/Map1a/Usp8/Prnp/Plcb4/Chmp4b/Arfgap1/Ctnnd1/Dgkz/Usp50/Flrt3/Tnik/Dclk1/Arhgef2/Sort1/Camk2d/Negr1/Nlgn1/Atp1a1/Ank2/Epha7/Map3k7/Dnajc6/Dlgap3/Camk2n1/Capzb/Clstn1/Dvl1/Sigmar1/Mpdz/Macf1/Prkcz/Akap9/Sema3a/Pclo/Magi2/Add1/Rpl5/Gper1/Rheb/Mapk10/Grk3/Cabp1/Rnf10/Ppp1r9a/Exoc4/Cntnap2/Grid2/Mgll/Itpr1/Syn2/Phb2/Chd4/Plekha5/Lrrc4/Ctnna2/Sema4f/Iqsec1/Camk1/Atp2b2/Erc1/Clstn3/Slc8a2/Rtn2/Sema4b/Picalm/Dlg2/Pak1/Eef2k/Lrfn3/Prr12/Lin7b/Homer2/Abhd17c/Eif4g2/Bnip3/Zdhhc2/Dnajb1/Itgb1/Psd3/Crtc1/Rpl18a/Neto2/Egln1/Mtmr2/Dnm2/Igsf9b/Rps25/Cadm1/Insyn1/Nptn/Adam10/Myo6/Ryk/Map4/Neo1/Map2k1/Snx1/Snap91/Tmem108/Bsn/Fyn/Ank3/Pip5k1c/Anks1b/Lin7a/Grm1/Gopc/Lrrtm3/Plxnc1/Syt1/Mdm2/Lrp1/Adcy1/Cpeb4/Hnrnph1/Vdac1/Dlg4/Mink1/Git1/Ppp1r9b/Samd14/Crhr1/Tanc2/Camk2b/Sptbn1/Arf1/Snap47/Rnf112/Arhgap44/Rpl23/Grin2c/Dtnb/Rock2/Dgkb/Gphn/Rtn1/Numb/Cap2/Ntrk2/Homer1/Dtnbp1/Spock1/Map1b/Rgs7bp/Camk2g/Dmtn/Drosha/Mapk8ip2/Asic1/Pcbp2/Eif3e/Adcy8/Shisa8/Mapk1/Dlg1/Kpna1/Gsk3b/Grin2a/Dnm1l/Pak2/Fbxo45/Gap43/Chmp2b/Robo2/Tiam1/Prkn/Afdn/Pacsin1/Epb41l3/Dlgap1/Cript/Pdpk1/Grm4/Hnrnpm/Sh3gl1/Pja2/Sos1/Mib1/Pura/Nr3c1/Synpo/Cfl1/Abhd17b/Pten/Neurl1a/Add3/Grk2/Cpeb3/Ablim1/Fmr1/Il1rapl1/Arhgef9/Cnksr2	217
GO:0014069	postsynaptic density	208/6233	464/28779	0.448275862068966	2.06977876375465	12.2148685018678	3.13033019158338e-29	2.66425880750318e-27	9.26284840316485e-28	Dst/Inpp4a/Nck2/Map2/Kcnh1/Adgrb3/Sema4c/Als2/Erbb4/Srgap2/Dnm3/Gpr158/Kcnt1/Olfm1/Tsc1/Rpl12/Pkp4/Tanc1/Rapgef4/Hnrnpa3/Lrp4/Lrrc4c/Lin7c/Map1a/Usp8/Prnp/Plcb4/Chmp4b/Arfgap1/Ctnnd1/Dgkz/Usp50/Flrt3/Tnik/Dclk1/Arhgef2/Camk2d/Negr1/Nlgn1/Atp1a1/Ank2/Epha7/Map3k7/Dnajc6/Dlgap3/Camk2n1/Capzb/Clstn1/Dvl1/Sigmar1/Mpdz/Macf1/Prkcz/Akap9/Pclo/Magi2/Add1/Rpl5/Gper1/Rheb/Mapk10/Grk3/Cabp1/Rnf10/Ppp1r9a/Exoc4/Grid2/Itpr1/Syn2/Phb2/Plekha5/Lrrc4/Ctnna2/Sema4f/Iqsec1/Camk1/Atp2b2/Erc1/Clstn3/Slc8a2/Rtn2/Sema4b/Picalm/Dlg2/Pak1/Eef2k/Lrfn3/Prr12/Lin7b/Homer2/Abhd17c/Eif4g2/Bnip3/Zdhhc2/Dnajb1/Psd3/Crtc1/Rpl18a/Neto2/Egln1/Mtmr2/Dnm2/Igsf9b/Rps25/Cadm1/Insyn1/Nptn/Adam10/Myo6/Ryk/Map4/Neo1/Map2k1/Snx1/Snap91/Tmem108/Bsn/Fyn/Ank3/Pip5k1c/Anks1b/Lin7a/Grm1/Gopc/Lrrtm3/Syt1/Mdm2/Lrp1/Adcy1/Cpeb4/Hnrnph1/Vdac1/Dlg4/Mink1/Git1/Ppp1r9b/Samd14/Crhr1/Tanc2/Camk2b/Sptbn1/Arf1/Snap47/Rnf112/Arhgap44/Rpl23/Grin2c/Dtnb/Rock2/Dgkb/Gphn/Rtn1/Numb/Cap2/Ntrk2/Homer1/Dtnbp1/Spock1/Map1b/Rgs7bp/Camk2g/Dmtn/Drosha/Mapk8ip2/Asic1/Pcbp2/Eif3e/Adcy8/Shisa8/Mapk1/Dlg1/Kpna1/Gsk3b/Grin2a/Dnm1l/Pak2/Fbxo45/Gap43/Chmp2b/Robo2/Tiam1/Prkn/Afdn/Pacsin1/Epb41l3/Dlgap1/Cript/Pdpk1/Hnrnpm/Sh3gl1/Pja2/Sos1/Mib1/Pura/Nr3c1/Synpo/Cfl1/Abhd17b/Pten/Neurl1a/Add3/Grk2/Cpeb3/Ablim1/Fmr1/Il1rapl1/Arhgef9/Cnksr2	208
GO:0008021	synaptic vesicle	147/6233	284/28779	0.517605633802817	2.38988810126925	12.3765269708691	5.06719346747034e-29	3.88147019608228e-27	1.34947362870526e-27	Atp6v1h/Arpc2/Mff/Stx6/Sema4c/Atg9a/Dbi/Tmem163/Psen2/Syt13/Bdnf/Snap25/Stx16/Dnajc5/Tor1a/Dnm1/Slc2a8/Rab14/Madd/Trpm7/Bcl2l1/Sv2a/Sec22b/Syt6/Vps45/Kcnc4/Slc6a17/Sh3glb1/Rab2a/Clta/Atp6v1g1/Ppt1/Stx12/Kif1b/Park7/Vamp3/Cops4/Btbd8/Atp8a1/Svop/Pebp1/Rph3a/Rac1/Exoc4/Atp6v0e2/Syn2/Vamp1/Borcs5/Ica1/Snca/Rab7/Iqsec1/Erc1/Atp6v1e1/Slc2a3/Ntf3/Slc17a7/Ube3a/Vps33b/Picalm/Dlg2/Syt9/Ap2a2/Rab4b/Ap2a1/Sv2b/Lamp1/Atp6v1b2/Znrf1/Rab4a/Vdac3/Ap3m2/Clcn3/Atp6v0d1/Mtmr2/Kirrel3/Bace1/Cadm1/Adam10/Atr/Rab3d/Dmxl2/Rab8b/Unc13c/Snap91/Slc35g2/Bsn/Slc18b1/Stx7/Atp2b1/Ppfia2/Sgta/Syt1/Rab5b/Vdac1/Septin8/Vamp2/Dlg4/Septin4/Atp6v0a1/Rnf112/Ndel1/Doc2b/Cltc/Rab5c/Kif3c/Psen1/Calm1/Ptprn2/Rab10/Atp6v1d/Vti1b/Amph/Mctp1/Dtnbp1/Cltb/Scamp1/Sv2c/Rab3c/Synpr/Vdac2/Lgi3/Syngr1/Lrrk2/Snap29/Ap2m1/Dlg1/Grin2a/Dnm1l/Atp6v1a/App/Prkn/Rab5a/Atp6v0c/Rab40c/Rab11b/Rab12/Calm2/Bin1/Apc/Wdr7/Syt4/Sptbn2/Syt7/Pi4k2a/Syt12/Cdk16	147
GO:0070382	exocytic vesicle	152/6233	301/28779	0.504983388704319	2.33160868659098	12.2109440339171	1.91739557422422e-28	1.33520455441432e-26	4.64211560075338e-27	Atp6v1h/Arpc2/Mff/Stx6/Sema4c/Atg9a/Dbi/Tmem163/Psen2/Syt13/Bdnf/Snap25/Stx16/Dnajc5/Tor1a/Dnm1/Slc2a8/Rab14/Madd/Trpm7/Bcl2l1/Sv2a/Sec22b/Syt6/Vps45/Kcnc4/Slc6a17/Sh3glb1/Rab2a/Clta/Atp6v1g1/Ppt1/Stx12/Kif1b/Park7/Vamp3/Cops4/Btbd8/Atp8a1/Svop/Pebp1/Rph3a/Rac1/Exoc4/Atp6v0e2/Syn2/Vamp1/Borcs5/Ica1/Snca/Rab7/Iqsec1/Erc1/Atp6v1e1/Slc2a3/Ntf3/Slc17a7/Ube3a/Vps33b/Picalm/Sytl2/Dlg2/Rab6a/Syt9/Ap2a2/Rab4b/Ap2a1/Sv2b/Lamp1/Atp6v1b2/Znrf1/Rab4a/Vdac3/Ap3m2/Clcn3/Atp6v0d1/Mtmr2/Kirrel3/Bace1/Cadm1/Adam10/Rab27a/Atr/Rab3d/Dmxl2/Rab8b/Unc13c/Snap91/Slc35g2/Bsn/Slc18b1/Stx7/Atp2b1/Ppfia2/Akap7/Sgta/Syt1/Rab5b/Vdac1/Septin8/Vamp2/Dlg4/Septin4/Atp6v0a1/Rnf112/Ndel1/Doc2b/Cltc/Rab5c/Unc13d/Kif3c/Psen1/Calm1/Ptprn2/Rab10/Atp6v1d/Vti1b/Amph/Mctp1/Dtnbp1/Cltb/Scamp1/Sv2c/Rab3c/Synpr/Vdac2/Lgi3/Syngr1/Lrrk2/Snap29/Ap2m1/Dlg1/Grin2a/Dnm1l/Atp6v1a/App/Prkn/Rab5a/Atp6v0c/Rab40c/Rab11b/Rab12/Calm2/Bin1/Apc/Wdr7/Syt4/Sptbn2/Syt7/Pi4k2a/Syt12/Cdk16	152
